district,timestamp,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,weather_main,weather_desc
Coimbatore,2025-04-09 00:00:00,25.15,25.76,25.15,25.15,1011,78,1.64,340,99,Rain,light rain
Coimbatore,2025-04-09 03:00:00,26.75,28.44,26.75,26.75,1013,70,2.66,230,99,Rain,light rain
Coimbatore,2025-04-09 06:00:00,31.59,33.63,31.59,31.59,1011,50,3.76,239,98,Clouds,overcast clouds
Coimbatore,2025-04-09 09:00:00,34.64,35.25,34.64,34.64,1007,35,4.25,226,45,Clouds,scattered clouds
Coimbatore,2025-04-09 12:00:00,30.03,32.12,30.03,30.03,1007,56,3.19,279,73,Rain,light rain
Coimbatore,2025-04-09 15:00:00,26.45,26.45,26.45,26.45,1010,77,4.82,246,93,Rain,light rain
Coimbatore,2025-04-09 18:00:00,25.01,25.73,25.01,25.01,1010,83,5.7,237,88,Clouds,overcast clouds
Coimbatore,2025-04-09 21:00:00,24.25,25.03,24.25,24.25,1008,88,5.59,244,100,Clouds,overcast clouds
Coimbatore,2025-04-10 00:00:00,23.82,24.53,23.82,23.82,1009,87,4.87,252,100,Clouds,overcast clouds
Coimbatore,2025-04-10 03:00:00,26.9,28.46,26.9,26.9,1010,67,5.22,248,100,Clouds,overcast clouds
Coimbatore,2025-04-10 06:00:00,31.43,33.13,31.43,31.43,1009,49,5.93,246,98,Clouds,overcast clouds
Coimbatore,2025-04-10 09:00:00,33.69,35.15,33.69,33.69,1006,41,5.95,245,52,Clouds,broken clouds
Coimbatore,2025-04-10 12:00:00,30.74,32.19,30.74,30.74,1006,50,5.37,249,48,Clouds,scattered clouds
Coimbatore,2025-04-10 15:00:00,26.74,28.29,26.74,26.74,1008,68,6.28,249,77,Clouds,broken clouds
Coimbatore,2025-04-10 18:00:00,24.84,25.52,24.84,24.84,1009,82,5.62,252,77,Clouds,broken clouds
Coimbatore,2025-04-10 21:00:00,23.74,24.39,23.74,23.74,1008,85,4.91,249,49,Clouds,scattered clouds
Coimbatore,2025-04-11 00:00:00,23.41,23.97,23.41,23.41,1008,83,5.17,250,45,Clouds,scattered clouds
Coimbatore,2025-04-11 03:00:00,26.96,28.03,26.96,26.96,1010,60,6.61,251,19,Clouds,few clouds
Coimbatore,2025-04-11 06:00:00,31.48,32.06,31.48,31.48,1009,43,6.16,245,22,Clouds,few clouds
Coimbatore,2025-04-11 09:00:00,33.8,34.38,33.8,33.8,1006,37,6.05,248,2,Clear,clear sky
Coimbatore,2025-04-11 12:00:00,31.49,32.25,31.49,31.49,1006,44,6.86,227,2,Clear,clear sky
Coimbatore,2025-04-11 15:00:00,26.01,26.01,26.01,26.01,1009,73,6.31,242,4,Rain,light rain
Coimbatore,2025-04-11 18:00:00,24.41,25.02,24.41,24.41,1010,81,6.01,246,14,Clouds,few clouds
Coimbatore,2025-04-11 21:00:00,24.06,24.64,24.06,24.06,1008,81,5.51,250,26,Clouds,scattered clouds
Coimbatore,2025-04-12 00:00:00,23.55,24.08,23.55,23.55,1010,81,4.66,244,47,Clouds,scattered clouds
Coimbatore,2025-04-12 03:00:00,26.66,26.66,26.66,26.66,1012,62,6.24,241,60,Clouds,broken clouds
Dindigul,2025-04-07 06:00:00,33.46,36.06,33.46,33.46,1010,46,1.08,24,97,Clouds,overcast clouds
Dindigul,2025-04-07 09:00:00,34.29,36.21,34.29,35.95,1009,41,3.68,35,98,Clouds,overcast clouds
Dindigul,2025-04-07 12:00:00,33.78,34.58,33.78,33.94,1008,38,3.3,53,96,Clouds,overcast clouds
Dindigul,2025-04-07 15:00:00,31.11,31.52,31.11,31.11,1010,43,1.74,154,84,Clouds,broken clouds
Dindigul,2025-04-07 18:00:00,27.36,30.44,27.36,27.36,1011,79,1.9,163,91,Rain,light rain
Dindigul,2025-04-07 21:00:00,26.59,26.59,26.59,26.59,1010,82,0.6,137,100,Rain,light rain
Dindigul,2025-04-08 00:00:00,25.55,26.43,25.55,25.55,1011,87,0.71,204,93,Rain,light rain
Dindigul,2025-04-08 03:00:00,28.54,32.07,28.54,28.54,1013,72,0.74,262,3,Clear,clear sky
Dindigul,2025-04-08 06:00:00,34.3,34.94,34.3,34.3,1011,36,1.9,30,35,Clouds,scattered clouds
Dindigul,2025-04-08 09:00:00,36.82,36.18,36.82,36.82,1008,25,4.18,22,85,Clouds,overcast clouds
Dindigul,2025-04-08 12:00:00,34.77,34.76,34.77,34.77,1008,32,2.93,49,69,Clouds,broken clouds
Dindigul,2025-04-08 15:00:00,31.57,31.67,31.57,31.57,1010,40,1.7,134,31,Clouds,scattered clouds
Dindigul,2025-04-08 18:00:00,27.68,30.54,27.68,27.68,1012,74,2.42,164,46,Rain,light rain
Dindigul,2025-04-08 21:00:00,26.54,26.54,26.54,26.54,1010,80,0.62,234,58,Rain,light rain
Dindigul,2025-04-09 00:00:00,25.83,26.64,25.83,25.83,1011,83,0.27,253,64,Rain,light rain
Dindigul,2025-04-09 03:00:00,28.31,31.28,28.31,28.31,1013,70,1.87,222,97,Clouds,overcast clouds
Dindigul,2025-04-09 06:00:00,33.03,36.06,33.03,33.03,1011,49,1.63,202,82,Clouds,broken clouds
Dindigul,2025-04-09 09:00:00,36.02,36.71,36.02,36.02,1007,32,1.59,325,92,Clouds,overcast clouds
Dindigul,2025-04-09 12:00:00,34.88,35.39,34.88,34.88,1006,34,0.91,285,68,Clouds,broken clouds
Dindigul,2025-04-09 15:00:00,29.36,31.01,29.36,29.36,1009,56,1.24,235,100,Rain,light rain
Dindigul,2025-04-09 18:00:00,27.98,29.76,27.98,27.98,1010,63,0.6,282,95,Rain,light rain
Dindigul,2025-04-09 21:00:00,27.02,28.72,27.02,27.02,1008,68,0.44,169,34,Clouds,scattered clouds
Dindigul,2025-04-10 00:00:00,26.44,26.44,26.44,26.44,1008,70,0.51,170,60,Clouds,broken clouds
Dindigul,2025-04-10 03:00:00,29.59,31.55,29.59,29.59,1010,57,1.14,136,63,Clouds,broken clouds
Dindigul,2025-04-10 06:00:00,34.13,36.19,34.13,34.13,1009,42,1.83,222,57,Clouds,broken clouds
Dindigul,2025-04-10 09:00:00,37.36,37.76,37.36,37.36,1004,28,0.39,301,37,Clouds,scattered clouds
Dindigul,2025-04-10 12:00:00,35.22,35.93,35.22,35.22,1004,34,3.94,334,50,Clouds,scattered clouds
Dindigul,2025-04-10 15:00:00,30.42,32.23,30.42,30.42,1007,53,2.3,205,94,Rain,light rain
Dindigul,2025-04-10 18:00:00,28.01,29.93,28.01,28.01,1008,64,0.94,206,83,Clouds,broken clouds
Dindigul,2025-04-10 21:00:00,26.81,28.47,26.81,26.81,1006,69,1.65,310,57,Clouds,broken clouds
Dindigul,2025-04-11 00:00:00,26.06,26.06,26.06,26.06,1008,71,1.08,196,55,Clouds,broken clouds
Dindigul,2025-04-11 03:00:00,28.11,29.39,28.11,28.11,1009,58,0.82,209,67,Clouds,broken clouds
Dindigul,2025-04-11 06:00:00,33.61,35.01,33.61,33.61,1009,41,0.92,78,69,Clouds,broken clouds
Dindigul,2025-04-11 09:00:00,35.93,36.83,35.93,35.93,1005,33,1.72,40,95,Clouds,overcast clouds
Dindigul,2025-04-11 12:00:00,27.39,29.23,27.39,27.39,1006,67,7.26,237,82,Rain,moderate rain
Dindigul,2025-04-11 15:00:00,26.69,27.7,26.69,26.69,1009,60,3.12,212,100,Rain,light rain
Dindigul,2025-04-11 18:00:00,26.78,28.21,26.78,26.78,1009,66,1.08,212,94,Clouds,overcast clouds
Dindigul,2025-04-11 21:00:00,26.14,26.14,26.14,26.14,1007,70,0.67,247,71,Clouds,broken clouds
Dindigul,2025-04-12 00:00:00,26.12,26.12,26.12,26.12,1009,70,0.79,4,86,Clouds,overcast clouds
Dindigul,2025-04-12 03:00:00,28.44,29.74,28.44,28.44,1011,57,0.73,299,100,Clouds,overcast clouds
Erode,2025-04-07 06:00:00,34.17,36.55,34.17,34.17,1010,43,0.23,110,59,Clouds,broken clouds
Erode,2025-04-07 09:00:00,34.92,36.78,34.92,36.43,1009,39,3.01,52,65,Clouds,broken clouds
Erode,2025-04-07 12:00:00,35.78,36.59,35.78,36.59,1007,33,1.05,113,78,Clouds,broken clouds
Erode,2025-04-07 15:00:00,33.26,33.56,33.26,33.26,1008,37,4.14,141,91,Clouds,overcast clouds
Erode,2025-04-07 18:00:00,29.61,31.58,29.61,29.61,1011,57,5.27,114,96,Clouds,overcast clouds
